,,,,,,,,,,,
编码,品名,材料牌号,材料标准,规格标准,RCC-M,质保等级,公称直径,单位,单重,单重单位,备注
SBN00100,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M14,个,,Kg,
SBN00101,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M16,个,,Kg,
SBN00102,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M20,个,,Kg,
SBN00103,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M24,个,,Kg,
SBN00104,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M27,个,,Kg,
SBN00105,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M30,个,,Kg,
SBN00106,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M33,个,,Kg,
SBN00107,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M36,个,,Kg,
SBN00108,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M39,个,,Kg,
SBN00109,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M42,个,,Kg,
SBN00110,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M45,个,,Kg,
SBN00111,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M48,个,,Kg,
SBN00112,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M52,个,,Kg,
SBN00113,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M56,个,,Kg,
SBN00114,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M64,个,,Kg,
SBN00115,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M70,个,,Kg,
SBN00116,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M76,个,,Kg,
SBN00117,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 1,QA1,M90,个,,Kg,
SBN00118,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M14,个,,Kg,
SBN00119,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M16,个,,Kg,
SBN00120,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M20,个,,Kg,
SBN00121,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M24,个,,Kg,
SBN00122,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M27,个,,Kg,
SBN00123,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M30,个,,Kg,
SBN00124,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M33,个,,Kg,
SBN00125,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M36,个,,Kg,
SBN00126,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M39,个,,Kg,
SBN00127,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M42,个,,Kg,
SBN00128,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M45,个,,Kg,
SBN00129,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M48,个,,Kg,
SBN00130,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M52,个,,Kg,
SBN00131,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M56,个,,Kg,
SBN00132,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M64,个,,Kg,
SBN00133,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M70,个,,Kg,
SBN00134,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M76,个,,Kg,
SBN00135,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 2,QA1,M90,个,,Kg,
SBN00136,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M14,个,,Kg,
SBN00137,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M16,个,,Kg,
SBN00138,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M20,个,,Kg,
SBN00139,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M24,个,,Kg,
SBN00140,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M27,个,,Kg,
SBN00141,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M30,个,,Kg,
SBN00142,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M33,个,,Kg,
SBN00143,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M36,个,,Kg,
SBN00144,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M39,个,,Kg,
SBN00145,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M42,个,,Kg,
SBN00146,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M45,个,,Kg,
SBN00147,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M48,个,,Kg,
SBN00148,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M52,个,,Kg,
SBN00149,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M56,个,,Kg,
SBN00150,1型六角螺母,12Cr13,CP05T3035,GB/T 6170-2015,RCC-M 3,QA2,M64,个,,Kg,
